"","day","month","year","deaths","date"
"140",4,2,"2018",76,2018-02-04
"141",5,2,"2015",84,2015-02-05
"142",5,2,"2016",109,2016-02-05
"143",5,2,"2017",71,2017-02-05
"144",5,2,"2018",67,2018-02-05
"145",6,2,"2015",93,2015-02-06
"146",6,2,"2016",87,2016-02-06
"147",6,2,"2017",81,2017-02-06
"148",6,2,"2018",90,2018-02-06
"149",7,2,"2015",79,2015-02-07
"150",7,2,"2016",94,2016-02-07
"151",7,2,"2017",94,2017-02-07
"152",7,2,"2018",79,2018-02-07
"153",8,2,"2015",94,2015-02-08
"154",8,2,"2016",94,2016-02-08
"155",8,2,"2017",82,2017-02-08
"156",8,2,"2018",81,2018-02-08
"157",9,2,"2015",80,2015-02-09
"158",9,2,"2016",79,2016-02-09
"159",9,2,"2017",105,2017-02-09
"160",9,2,"2018",104,2018-02-09
"161",10,2,"2015",77,2015-02-10
"162",10,2,"2016",102,2016-02-10
"163",10,2,"2017",79,2017-02-10
"164",10,2,"2018",99,2018-02-10
"165",11,2,"2015",109,2015-02-11
"166",11,2,"2016",92,2016-02-11
"167",11,2,"2017",89,2017-02-11
"168",11,2,"2018",86,2018-02-11
"169",12,2,"2015",93,2015-02-12
"170",12,2,"2016",88,2016-02-12
"171",12,2,"2017",86,2017-02-12
"172",12,2,"2018",85,2018-02-12
"173",13,2,"2015",86,2015-02-13
"174",13,2,"2016",97,2016-02-13
"175",13,2,"2017",67,2017-02-13
"176",13,2,"2018",89,2018-02-13
"177",14,2,"2015",67,2015-02-14
"178",14,2,"2016",84,2016-02-14
"179",14,2,"2017",86,2017-02-14
"180",14,2,"2018",91,2018-02-14
"181",15,2,"2015",79,2015-02-15
"182",15,2,"2016",93,2016-02-15
"183",15,2,"2017",85,2017-02-15
"184",15,2,"2018",86,2018-02-15
"185",16,2,"2015",101,2015-02-16
"186",16,2,"2016",78,2016-02-16
"187",16,2,"2017",73,2017-02-16
"188",16,2,"2018",83,2018-02-16
"189",17,2,"2015",81,2015-02-17
"190",17,2,"2016",85,2016-02-17
"191",17,2,"2017",86,2017-02-17
"192",17,2,"2018",78,2018-02-17
"193",18,2,"2015",75,2015-02-18
"194",18,2,"2016",79,2016-02-18
"195",18,2,"2017",87,2017-02-18
"196",18,2,"2018",76,2018-02-18
"197",19,2,"2015",94,2015-02-19
"198",19,2,"2016",107,2016-02-19
"199",19,2,"2017",89,2017-02-19
"200",19,2,"2018",87,2018-02-19
"201",20,2,"2015",79,2015-02-20
"202",20,2,"2016",72,2016-02-20
"203",20,2,"2017",84,2017-02-20
"204",20,2,"2018",71,2018-02-20
"205",21,2,"2015",71,2015-02-21
"206",21,2,"2016",83,2016-02-21
"207",21,2,"2017",78,2017-02-21
"208",21,2,"2018",85,2018-02-21
"209",22,2,"2015",90,2015-02-22
"210",22,2,"2016",83,2016-02-22
"211",22,2,"2017",81,2017-02-22
"212",22,2,"2018",89,2018-02-22
"213",23,2,"2015",85,2015-02-23
"214",23,2,"2016",83,2016-02-23
"215",23,2,"2017",79,2017-02-23
"216",23,2,"2018",81,2018-02-23
"217",24,2,"2015",95,2015-02-24
"218",24,2,"2016",102,2016-02-24
"219",24,2,"2017",82,2017-02-24
"220",24,2,"2018",96,2018-02-24
"221",25,2,"2015",93,2015-02-25
"222",25,2,"2016",73,2016-02-25
"223",25,2,"2017",75,2017-02-25
"224",25,2,"2018",97,2018-02-25
"225",26,2,"2015",77,2015-02-26
"226",26,2,"2016",82,2016-02-26
"227",26,2,"2017",76,2017-02-26
"228",26,2,"2018",95,2018-02-26
"229",27,2,"2015",66,2015-02-27
"230",27,2,"2016",93,2016-02-27
"231",27,2,"2017",91,2017-02-27
"232",27,2,"2018",99,2018-02-27
"233",28,2,"2015",93,2015-02-28
"234",28,2,"2016",69,2016-02-28
"235",28,2,"2017",84,2017-02-28
"236",28,2,"2018",90,2018-02-28
"237",29,2,"2016",NA,2016-02-29
"238",1,3,"2015",82,2015-03-01
"239",1,3,"2016",73,2016-03-01
"240",1,3,"2017",73,2017-03-01
"241",1,3,"2018",110,2018-03-01
"242",2,3,"2015",92,2015-03-02
"243",2,3,"2016",69,2016-03-02
"244",2,3,"2017",89,2017-03-02
"245",2,3,"2018",95,2018-03-02
"246",3,3,"2015",95,2015-03-03
"247",3,3,"2016",67,2016-03-03
"248",3,3,"2017",57,2017-03-03
"249",3,3,"2018",103,2018-03-03
"250",4,3,"2015",77,2015-03-04
"251",4,3,"2016",88,2016-03-04
"252",4,3,"2017",90,2017-03-04
"253",4,3,"2018",85,2018-03-04
"254",5,3,"2015",75,2015-03-05
"255",5,3,"2016",77,2016-03-05
"256",5,3,"2017",92,2017-03-05
"257",5,3,"2018",94,2018-03-05
"258",6,3,"2015",90,2015-03-06
"259",6,3,"2016",69,2016-03-06
"260",6,3,"2017",78,2017-03-06
"261",6,3,"2018",90,2018-03-06
"262",7,3,"2015",76,2015-03-07
"263",7,3,"2016",85,2016-03-07
"264",7,3,"2017",78,2017-03-07
"265",7,3,"2018",80,2018-03-07
"266",8,3,"2015",80,2015-03-08
"267",8,3,"2016",80,2016-03-08
"268",8,3,"2017",81,2017-03-08
"269",8,3,"2018",79,2018-03-08
"270",9,3,"2015",68,2015-03-09
"271",9,3,"2016",69,2016-03-09
"272",9,3,"2017",93,2017-03-09
"273",9,3,"2018",79,2018-03-09
"274",10,3,"2015",80,2015-03-10
"275",10,3,"2016",77,2016-03-10
"276",10,3,"2017",97,2017-03-10
"277",10,3,"2018",84,2018-03-10
"278",11,3,"2015",79,2015-03-11
"279",11,3,"2016",84,2016-03-11
"280",11,3,"2017",95,2017-03-11
"281",11,3,"2018",96,2018-03-11
"282",12,3,"2015",72,2015-03-12
"283",12,3,"2016",72,2016-03-12
"284",12,3,"2017",81,2017-03-12
"285",12,3,"2018",94,2018-03-12
"286",13,3,"2015",80,2015-03-13
"287",13,3,"2016",85,2016-03-13
"288",13,3,"2017",89,2017-03-13
"289",13,3,"2018",99,2018-03-13
"290",14,3,"2015",67,2015-03-14
"291",14,3,"2016",83,2016-03-14
"292",14,3,"2017",69,2017-03-14
"293",14,3,"2018",94,2018-03-14
"294",15,3,"2015",71,2015-03-15
"295",15,3,"2016",77,2016-03-15
"296",15,3,"2017",69,2017-03-15
"297",15,3,"2018",85,2018-03-15
"298",16,3,"2015",89,2015-03-16
"299",16,3,"2016",80,2016-03-16
"300",16,3,"2017",82,2017-03-16
"301",16,3,"2018",92,2018-03-16
"302",17,3,"2015",75,2015-03-17
"303",17,3,"2016",69,2016-03-17
"304",17,3,"2017",91,2017-03-17
"305",17,3,"2018",63,2018-03-17
"306",18,3,"2015",82,2015-03-18
"307",18,3,"2016",77,2016-03-18
"308",18,3,"2017",70,2017-03-18
"309",18,3,"2018",78,2018-03-18
"310",19,3,"2015",92,2015-03-19
"311",19,3,"2016",95,2016-03-19
"312",19,3,"2017",82,2017-03-19
"313",19,3,"2018",81,2018-03-19
"314",20,3,"2015",76,2015-03-20
"315",20,3,"2016",94,2016-03-20
"316",20,3,"2017",82,2017-03-20
"317",20,3,"2018",79,2018-03-20
"318",21,3,"2015",81,2015-03-21
"319",21,3,"2016",90,2016-03-21
"320",21,3,"2017",76,2017-03-21
"321",21,3,"2018",85,2018-03-21
"322",22,3,"2015",62,2015-03-22
"323",22,3,"2016",83,2016-03-22
"324",22,3,"2017",89,2017-03-22
"325",22,3,"2018",80,2018-03-22
"326",23,3,"2015",79,2015-03-23
"327",23,3,"2016",82,2016-03-23
"328",23,3,"2017",73,2017-03-23
"329",23,3,"2018",95,2018-03-23
"330",24,3,"2015",64,2015-03-24
"331",24,3,"2016",81,2016-03-24
"332",24,3,"2017",78,2017-03-24
"333",24,3,"2018",79,2018-03-24
"334",25,3,"2015",75,2015-03-25
"335",25,3,"2016",86,2016-03-25
"336",25,3,"2017",88,2017-03-25
"337",25,3,"2018",81,2018-03-25
"338",26,3,"2015",77,2015-03-26
"339",26,3,"2016",82,2016-03-26
"340",26,3,"2017",80,2017-03-26
"341",26,3,"2018",66,2018-03-26
"342",27,3,"2015",73,2015-03-27
"343",27,3,"2016",78,2016-03-27
"344",27,3,"2017",88,2017-03-27
"345",27,3,"2018",83,2018-03-27
"346",28,3,"2015",76,2015-03-28
"347",28,3,"2016",70,2016-03-28
"348",28,3,"2017",67,2017-03-28
"349",28,3,"2018",80,2018-03-28
"350",29,3,"2015",86,2015-03-29
"351",29,3,"2016",78,2016-03-29
"352",29,3,"2017",73,2017-03-29
"353",29,3,"2018",65,2018-03-29
"354",30,3,"2015",94,2015-03-30
"355",30,3,"2016",77,2016-03-30
"356",30,3,"2017",72,2017-03-30
"357",30,3,"2018",89,2018-03-30
"358",31,3,"2015",62,2015-03-31
"359",31,3,"2016",81,2016-03-31
"360",31,3,"2017",72,2017-03-31
"361",31,3,"2018",80,2018-03-31
"362",1,4,"2015",70,2015-04-01
"363",1,4,"2016",79,2016-04-01
"364",1,4,"2017",89,2017-04-01
"365",1,4,"2018",87,2018-04-01
"366",2,4,"2015",85,2015-04-02
"367",2,4,"2016",53,2016-04-02
"368",2,4,"2017",94,2017-04-02
"369",2,4,"2018",65,2018-04-02
"370",3,4,"2015",80,2015-04-03
"371",3,4,"2016",77,2016-04-03
"372",3,4,"2017",81,2017-04-03
"373",3,4,"2018",67,2018-04-03
"374",4,4,"2015",88,2015-04-04
"375",4,4,"2016",92,2016-04-04
"376",4,4,"2017",92,2017-04-04
"377",4,4,"2018",88,2018-04-04
"378",5,4,"2015",84,2015-04-05
"379",5,4,"2016",75,2016-04-05
"380",5,4,"2017",57,2017-04-05
"381",5,4,"2018",93,2018-04-05
"382",6,4,"2015",82,2015-04-06
"383",6,4,"2016",68,2016-04-06
"384",6,4,"2017",72,2017-04-06
"385",6,4,"2018",84,2018-04-06
"386",7,4,"2015",66,2015-04-07
"387",7,4,"2016",84,2016-04-07
"388",7,4,"2017",80,2017-04-07
