incident_id,offense_id,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,IS_CRIME,IS_TRAFFIC,VICTIM_COUNT
201932299,201932299240400,2404,0,theft-of-motor-vehicle,auto-theft,1/15/2019 8:40:00 AM,1/15/2019 8:45:00 AM,1/15/2019 9:16:00 AM,400 BLK N KNOX CT,3131608,1688867,-105.03212,39.7238123,4,411,barnum,1,0,1
202252156,202252156220300,2203,0,burglary-business-by-force,burglary,1/28/2022 12:00:00 PM,1/31/2022 9:00:00 PM,1/31/2022 10:46:00 PM,601 W 11TH AVE,3142004,1692661,-104.9950869,39.7340747,1,123,lincoln-park,1,0,1
2020397263,2020397263239901,2399,1,theft-bicycle,larceny,6/26/2020 3:00:00 PM,6/30/2020 10:00:00 AM,6/30/2020 10:07:00 AM,2525 WEWATTA WAY,3143159,1702835,-104.9907775,39.7619864,6,612,five-points,1,0,1
2022512077,2022512077410400,4104,0,liquor-possession,drug-alcohol,10/4/2022 10:40:00 AM,,10/4/2022 10:40:00 AM,1800 BLK E COLFAX AVE,3150424,1694985,-104.9651006,39.7403223,6,622,city-park-west,1,0,1
2022227732,2022227732299901,2999,1,criminal-mischief-mtr-veh,public-disorder,5/6/2022 9:30:00 PM,5/7/2022 2:15:00 AM,5/7/2022 2:36:00 AM,7575 E 29TH PL,3168625,1702121,-104.9002131,39.7595997,5,512,central-park,1,0,1
202217548,202217548240400,2404,0,theft-of-motor-vehicle,auto-theft,1/12/2022 6:40:00 AM,1/12/2022 6:50:00 AM,1/12/2022 7:52:00 AM,5885 W HAMPDEN AVE,3123601,1663181,-105.0610265,39.6534077,4,423,bear-valley,1,0,1
2020305515,2020305515240400,2404,0,theft-of-motor-vehicle,auto-theft,5/17/2020 11:00:00 PM,5/18/2020 8:00:00 AM,5/18/2020 9:52:00 AM,12655 E ALBROOK DR,3184828,1710585,-104.8423642,39.7825266,5,521,montbello,1,0,1
2020130291,2020130291131500,1315,0,aggravated-assault,aggravated-assault,2/29/2020 1:35:00 AM,,2/29/2020 1:35:00 AM,E 10TH AVE / N BROADWAY ST,3144169,1691933,-104.9874038,39.732043,6,623,civic-center,1,0,1
2019730356,2019730356570700,5707,0,criminal-trespassing,all-other-crimes,11/16/2019 3:04:00 PM,,11/16/2019 4:00:00 PM,1550 COURT PL,3143674,1695456,-104.9890933,39.7417219,6,611,cbd,1,0,1
2019425211,2019425211230300,2303,0,theft-shoplift,larceny,7/7/2019 3:55:00 PM,,7/7/2019 4:38:00 PM,3130 S SHERIDAN BLVD,3126949,1663682,-105.0491273,39.6547381,4,423,harvey-park-south,1,0,1
