Section,Biological Sex,GPA,Religious_Importance,Miss_Class,Seating,Monthly_Parties,Drinking_Days,Weekly_Study,Smoke_Cigarettes,Drive_Influenced,Drinks_per_Occasion,Uncommitted_Sex,Ever_Cheat,Divulge_Cheating,SATM,SATV,Height,Weight,Book_Cost,Daily_Smokes,Try_Weed,Weekly_High,Approve_Same_Sex,Date_Different_Race
Section 14,Male,3.3,Very Important,1,Middle,5,9,4,Yes,Yes,3_4,Yes,No,Never cheated,640,600,71,155,200,Less than half a pack,Yes,Do not get high,Yes,Yes
Section 14,Male,2.55,Very Important,5,Back,10,12,4,No,Yes,9 or more,Yes,No,No,600,590,68,175,350,None,Yes,3 to 5,No,No
Section 14,Female,3.53,Very Important,0,Middle,2,1,6,No,No,3_4,Yes,No,Never cheated,520,500,71,125,400,None,Yes,Do not get high,Yes,No
Section 14,Male,2.55,Very Important,2,Middle,15,20,3,Yes,Yes,9 or more,Yes,Yes,No,700,600,78,210,300,Half a pack to a full pack,Yes,6 to 8,No,Yes
Section 15,Female,3.83,Not Important,0,Middle,0,0,30,No,No,1_2,No,No,Never cheated,660,660,62,114,500,None,No,Do not get high,Yes,Yes
Section 15,Male,3.86,Fairly Important,1,Middle,4,15,6,No,No,3_4,Yes,No,Never cheated,720,500,73,155,350,None,No,Do not get high,Yes,Yes
Section 15,Female,3.5,Not Important,1,Middle,10,10,20,No,No,3_4,Yes,No,Never cheated,600,550,67,105,350,None,Yes,Do not get high,Yes,Yes
Section 15,Female,2.99,Fairly Important,2,Middle,12,15,7,No,Yes,7_8,No,No,Never cheated,640,460,68,140,200,None,Yes,Do not get high,Yes,No
Section 15,Female,2.98,Fairly Important,0,Middle,1,0,8,No,No,0,No,No,Never cheated,490,520,66,150,400,None,No,Do not get high,Yes,Yes
Section 15,Male,3.95,Not Important,0,Front,4,10,3,No,Yes,5_6,Yes,No,Never cheated,,,73,180,250,None,Yes,Do not get high,No,Yes
Section 15,Male,3.13,Fairly Important,0,Middle,4,5,6,No,Yes,3_4,No,No,Never cheated,600,600,72,165,300,None,Yes,Do not get high,No,Yes
Section 15,Female,2.9,Very Important,0,Front,10,2,20,No,No,1_2,No,No,Never cheated,480,580,66,189,500,None,Yes,1 to 2,No,No
Section 15,Female,3.62,Fairly Important,2,Middle,12,15,6,No,Yes,9 or more,No,No,Never cheated,780,660,61,115,350,None,Yes,Do not get high,No,No
Section 16,Female,2.79,Fairly Important,1,Middle,6,7,7,No,Yes,7_8,No,No,Never cheated,670,550,66,115,300,None,Yes,1 to 2,No,Yes
Section 16,Female,3,Very Important,0,Middle,1,1,45,No,No,1_2,No,No,Never cheated,580,600,68,120,225,None,Yes,Do not get high,No,Yes
Section 16,Female,2.57,Not Important,3,Back,4,4,3,Yes,No,9 or more,Yes,No,Never cheated,560,520,106,170,300,Half a pack to a full pack,Yes,3 to 5,Yes,Yes
Section 16,Female,3,Fairly Important,0,Middle,6,0,15,No,No,0,No,No,Never cheated,580,480,58,170,300,None,No,Do not get high,No,Yes
Section 16,Female,3.92,Fairly Important,0,Middle,10,0,25,No,No,0,No,No,Never cheated,,,73,118,300,None,No,Do not get high,Yes,Yes
Section 16,Female,2.13,Fairly Important,2,Back,6,6,20,No,No,5_6,No,Yes,Yes,500,500,64,126,300,None,Yes,1 to 2,Yes,Yes
Section 16,Male,3.46,Fairly Important,7,Middle,15,15,30,No,No,7_8,Yes,No,Never cheated,640,600,71,175,550,None,No,Do not get high,Yes,Yes
Section 16,Male,2.5,Not Important,1,Back,4,4,20,No,Yes,5_6,Yes,Yes,No,570,540,68,170,400,None,Yes,Do not get high,No,Yes
Section 16,Female,3.41,Not Important,0,Middle,12,10,14,No,Yes,7_8,Yes,No,Never cheated,480,560,64,128,200,None,Yes,1 to 2,Yes,Yes
Section 16,Female,3.8,Not Important,1,Middle,10,15,10,No,No,5_6,No,No,Never cheated,600,700,63,130,350,None,No,Do not get high,Yes,Yes
Section 16,Female,2.61,Fairly Important,0,Middle,6,8,18,No,No,3_4,No,No,Never cheated,450,600,67,125,300,None,No,Do not get high,Yes,Yes
Section 15,Female,3.77,Very Important,0,Middle,12,13,16,No,No,5_6,No,Yes,No,620,640,68,140,420,None,Yes,Do not get high,Yes,No
Section 15,Male,3.21,Very Important,1,Middle,0,1,7,No,No,5_6,No,No,Never cheated,650,590,68,155,500,None,No,Do not get high,No,Yes
Section 15,Female,3.21,Not Important,1,Front,11,15,4,Yes,Yes,9 or more,Yes,No,Never cheated,760,660,67,175,520,None,Yes,1 to 2,Yes,Yes
Section 15,Female,3.6,Fairly Important,0,Middle,10,10,20,No,No,5_6,No,No,Never cheated,460,540,62,105,450,None,No,Do not get high,Yes,Yes
Section 15,Female,3.1,Not Important,1,Middle,6,6,15,No,No,1_2,Yes,No,Never cheated,500,610,67,160,400,None,Yes,Do not get high,Yes,Yes
Section 15,Female,3.77,Fairly Important,0,Middle,5,8,12,No,Yes,5_6,No,Yes,Yes,650,630,65,105,380,None,No,Do not get high,Yes,Yes
Section 16,Female,3.8,Fairly Important,0,Front,3,3,15,No,No,1_2,Yes,No,Never cheated,550,550,65,130,300,None,Yes,Do not get high,Yes,Yes
Section 16,Male,3.53,Fairly Important,0,Middle,1,1,6,No,No,1_2,No,No,Never cheated,620,630,69,135,410,None,No,Do not get high,No,Yes
Section 16,Female,3.7,Very Important,0,Front,5,1,15,No,No,1_2,No,Yes,Yes,640,670,63,112,200,None,No,Do not get high,No,Yes
Section 16,Female,3.78,Very Important,0,Middle,10,7,25,No,Yes,5_6,Yes,Yes,Yes,550,400,72,115,400,Less than half a pack,Yes,1 to 2,No,Yes
Section 16,Male,3.14,Fairly Important,1,Middle,12,15,4,No,No,9 or more,Yes,No,Never cheated,580,580,72,190,400,None,Yes,Do not get high,Yes,Yes
Section 16,Male,2.75,Not Important,0,Middle,5,6,15,No,Yes,1_2,Yes,Yes,Yes,660,590,70,165,450,None,Yes,1 to 2,Yes,Yes
Section 16,Male,3,Not Important,0,Middle,8,8,14,No,No,7_8,No,No,Never cheated,650,570,72,170,300,None,No,Do not get high,No,Yes
Section 16,Male,3.35,Fairly Important,1,Middle,1,1,5,No,No,3_4,Yes,No,Never cheated,570,480,75,230,320,None,No,Do not get high,No,No
Section 16,Male,2.5,Very Important,1,Middle,10,7,15,No,Yes,7_8,No,No,Never cheated,425,,72,157,300,None,Yes,Do not get high,No,No
Section 13,Female,4,Not Important,1,Front,6,6,18,No,No,1_2,No,No,Never cheated,590,500,64,98,400,None,Yes,Do not get high,Yes,Yes
Section 13,Female,3.33,Very Important,0,Front,4,4,15,No,No,1_2,No,No,Never cheated,650,630,65,150,300,None,No,Do not get high,Yes,Yes
Section 13,Female,1.67,Very Important,4,Middle,6,0,6,No,No,1_2,No,No,Never cheated,680,600,65,200,300,None,No,Do not get high,No,No
Section 13,Male,3.21,Very Important,1,Front,0,0,10,No,No,0,No,No,No,620,400,71,154,100,Less than half a pack,No,Do not get high,No,No
Section 15,Female,3.71,Fairly Important,0,Middle,7,6,12,No,Yes,3_4,No,Yes,Yes,540,560,62,135,400,None,Yes,Do not get high,Yes,Yes
Section 16,Female,3.01,Fairly Important,3,Middle,3,4,28,No,Yes,3_4,No,No,Never cheated,630,590,60,115,300,None,No,Do not get high,Yes,Yes
Section 13,Male,3.19,Very Important,3,Middle,2,3,10,No,No,5_6,No,No,Never cheated,480,480,69,215,350,None,No,Do not get high,No,Yes
Section 14,Male,3.42,Fairly Important,0,Middle,10,12,15,Yes,Yes,9 or more,Yes,Yes,No,590,610,69,160,320,Less than half a pack,Yes,1 to 2,No,Yes
Section 13,Male,3.24,Fairly Important,2,Back,3,28,4,No,Yes,5_6,Yes,No,Never cheated,510,680,67,170,600,None,Yes,1 to 2,Yes,Yes
Section 14,Male,2.98,Not Important,1,Back,1,5,4,No,Yes,7_8,Yes,Yes,Yes,,,71,155,300,None,Yes,Do not get high,Yes,Yes
Section 15,Male,2.45,Fairly Important,1,Back,4,12,7,No,Yes,7_8,Yes,No,Never cheated,650,630,60,170,400,None,Yes,1 to 2,Yes,Yes
Section 14,Female,2.8,Not Important,2,Middle,12,18,8,No,Yes,5_6,Yes,Yes,No,640,630,75,148,250,None,Yes,1 to 2,Yes,Yes
Section 16,Male,3.78,Very Important,1,Middle,3,2,7,No,No,5_6,Yes,No,Never cheated,630,520,69,151,200,None,No,Do not get high,No,Yes
