Section,Biological Sex,GPA,Religious_Importance,Miss_Class,Seating,Monthly_Parties,Drinking_Days,Weekly_Study,Smoke_Cigarettes,Drive_Influenced,Drinks_per_Occasion,Uncommitted_Sex,Ever_Cheat,Divulge_Cheating,SATM,SATV,Height,Weight,Book_Cost,Daily_Smokes,Try_Weed,Weekly_High,Approve_Same_Sex,Date_Different_Race
Section 16,Female,3.02,Fairly Important,1,Front,2,2,6,No,No,1_2,No,No,Never cheated,560,560,64,125,400,None,No,Do not get high,Yes,Yes
Section 16,Female,2.2,Fairly Important,1,Middle,8,10,20,Yes,No,9 or more,Yes,No,Never cheated,,,68,140,300,Less than half a pack,Yes,1 to 2,Yes,Yes
Section 16,Male,3.16,Fairly Important,0,Middle,5,8,35,No,Yes,5_6,Yes,No,Never cheated,620,760,75,215,200,None,Yes,Do not get high,No,Yes
Section 16,Male,3.66,Not Important,1,Middle,13,18,6,No,Yes,7_8,No,No,Never cheated,640,640,68,185,160,None,Yes,1 to 2,Yes,Yes
Section 13,Female,2.89,Fairly Important,0,Front,6,6,30,No,No,1_2,No,No,Never cheated,590,640,63,130,350,None,Yes,Do not get high,Yes,Yes
Section 13,Female,3.7,Fairly Important,0,Middle,10,10,15,No,No,3_4,No,No,Never cheated,570,560,61,210,450,None,No,Do not get high,Yes,No
Section 13,Male,3.2,Not Important,0,Middle,2,0,12,No,No,0,Yes,No,Never cheated,680,710,68,145,310,None,No,Do not get high,Yes,No
Section 13,Female,3.42,Not Important,0,Middle,8,10,18,No,No,5_6,No,No,Never cheated,660,580,65,120,300,None,No,Do not get high,Yes,Yes
Section 13,Male,3.02,Very Important,1,Back,12,5,20,No,No,3_4,No,No,Never cheated,700,570,74,165,400,None,Yes,Do not get high,Yes,Yes
Section 14,Male,3.51,Not Important,0,Middle,8,8,10,No,No,5_6,Yes,No,Never cheated,650,590,74,182,450,None,Yes,1 to 2,No,Yes
Section 14,Male,2.41,Fairly Important,2,Middle,5,6,10,No,No,5_6,No,No,Never cheated,620,640,70,175,400,None,No,Do not get high,Yes,Yes
Section 14,Male,2.8,Fairly Important,0,Middle,3,1,7,No,No,5_6,Yes,No,Never cheated,450,450,68,170,300,None,No,Do not get high,No,No
Section 14,Female,2.65,Fairly Important,0,Front,8,6,25,No,No,3_4,No,Yes,Yes,650,550,65,135,330,None,No,Do not get high,Yes,Yes
Section 14,Female,3.7,Fairly Important,1,Middle,5,8,5,No,No,3_4,No,Yes,No,600,620,69,150,400,None,No,Do not get high,Yes,Yes
Section 15,Male,3.08,Very Important,1,Middle,1,0,20,No,No,3_4,No,Yes,No,420,490,75,184,450,None,No,Do not get high,Yes,Yes
Section 15,Male,2.2,Not Important,0,Middle,13,14,5,Yes,Yes,9 or more,Yes,No,Never cheated,630,580,73,230,327,Less than half a pack,Yes,3 to 5,Yes,Yes
Section 15,Female,3.76,Fairly Important,2,Middle,12,15,5,No,No,7_8,No,No,Never cheated,760,600,68,120,300,None,Yes,Do not get high,Yes,No
Section 15,Male,2.8,Fairly Important,0,Middle,3,3,20,No,No,3_4,Yes,No,Never cheated,600,500,69,165,200,None,No,Do not get high,No,Yes
Section 16,Female,3.3,Very Important,1,Middle,4,1,20,No,No,1_2,No,No,Never cheated,600,600,53,150,300,None,No,Do not get high,Yes,Yes
Section 15,Female,3.55,Fairly Important,2,Middle,12,13,5,No,Yes,7_8,Yes,Yes,No,585,590,67,143,500,None,Yes,1 to 2,Yes,Yes
Section 15,Male,3.72,Fairly Important,2,Front,6,6,5,No,Yes,7_8,Yes,No,Never cheated,800,750,72,175,300,None,Yes,More than 8,No,Yes
Section 16,Female,3.36,Not Important,0,Middle,10,10,6,No,Yes,9 or more,Yes,Yes,Yes,540,550,56,130,450,None,Yes,1 to 2,Yes,No
Section 16,Male,2.57,Very Important,1,Middle,10,10,17,No,No,1_2,No,No,Never cheated,680,550,69,195,300,None,Yes,Do not get high,No,Yes
Section 16,Male,3.76,Not Important,0,Middle,12,10,8,No,No,5_6,No,No,Never cheated,670,670,72,165,200,None,Yes,Do not get high,Yes,Yes
Section 16,Female,3.53,Very Important,0,Middle,10,12,10,No,Yes,5_6,No,No,Never cheated,560,590,66,135,450,None,No,Do not get high,Yes,Yes
Section 16,Male,2.7,Not Important,2,Middle,5,10,8,No,Yes,7_8,Yes,No,Never cheated,550,700,72,200,300,None,Yes,1 to 2,Yes,Yes
Section 16,Female,3.9,Fairly Important,0,Middle,14,16,20,No,No,3_4,No,No,Never cheated,575,600,63,113,225,None,No,Do not get high,No,Yes
Section 16,Female,2.25,Fairly Important,1,Middle,4,15,6,Yes,Yes,1_2,Yes,Yes,No,450,400,69,125,400,Less than half a pack,Yes,1 to 2,Yes,Yes
Section 13,Female,3.9,Very Important,0,Front,8,6,10,No,No,1_2,No,Yes,Yes,640,560,67,150,450,None,No,Do not get high,No,Yes
Section 13,Female,3.1,Fairly Important,0,Middle,8,8,20,No,No,3_4,No,No,Never cheated,550,610,68,132,400,None,No,Do not get high,Yes,Yes
Section 13,Female,3.3,Very Important,1,Back,8,8,40,No,No,3_4,No,Yes,No,600,490,68,140,400,None,Yes,Do not get high,No,Yes
Section 13,Male,3.76,Very Important,0,Middle,1,1,8,No,No,1_2,No,No,Never cheated,600,610,68,155,250,None,No,Do not get high,No,No
Section 13,Male,3.2,Fairly Important,1,Middle,10,15,9,No,Yes,9 or more,No,Yes,No,650,660,70,180,300,None,Yes,Do not get high,Yes,Yes
Section 14,Female,3.1,Not Important,0,Middle,4,4,15,No,No,3_4,Yes,Yes,Yes,570,570,64,133,800,None,No,Do not get high,Yes,Yes
Section 14,Female,3.76,Very Important,0,Front,0,0,10,No,No,0,No,No,Never cheated,600,550,64,125,300,None,No,Do not get high,No,Yes
Section 14,Female,2.7,Fairly Important,1,Front,12,12,15,No,Yes,3_4,Yes,Yes,No,500,450,64,150,400,None,Yes,1 to 2,Yes,Yes
Section 15,Female,4,Very Important,0,Middle,8,8,20,No,No,3_4,No,Yes,Yes,650,550,63,112,450,None,No,Do not get high,Yes,Yes
Section 15,Female,2.98,Fairly Important,0,Middle,12,12,20,No,No,7_8,Yes,No,Never cheated,590,570,62,130,200,None,Yes,1 to 2,Yes,Yes
Section 15,Female,3.81,Very Important,0,Middle,0,0,10,No,No,1_2,No,No,Never cheated,560,610,66,125,350,None,No,Do not get high,Yes,Yes
Section 15,Female,3.33,Fairly Important,0,Middle,1,8,15,No,No,3_4,No,No,Never cheated,570,490,64,180,300,None,No,Do not get high,Yes,Yes
Section 15,Male,3.72,Not Important,0,Front,3,4,10,No,No,7_8,No,No,Never cheated,700,640,70,150,325,None,Yes,Do not get high,Yes,Yes
Section 15,Male,3.72,Very Important,1,Back,6,4,18,No,Yes,7_8,No,No,Never cheated,660,660,69,145,550,None,Yes,1 to 2,No,Yes
Section 15,Female,3.94,Very Important,2,Back,10,10,3,No,No,7_8,No,No,Never cheated,620,600,68,150,300,None,No,Do not get high,Yes,Yes
Section 16,Female,3.48,Not Important,0,Middle,6,6,14,No,No,3_4,No,No,Never cheated,550,690,71,174,250,None,Yes,Do not get high,Yes,Yes
Section 16,Female,2.3,Fairly Important,0,Middle,2,2,12,No,No,3_4,No,No,Never cheated,560,580,63,114,150,None,No,Do not get high,Yes,Yes
Section 16,Male,3.03,Fairly Important,2,Back,4,5,5,No,No,3_4,No,No,Never cheated,690,690,74,140,250,None,No,Do not get high,Yes,Yes
Section 16,Male,3,Very Important,1,Middle,0,0,30,No,No,0,No,No,Never cheated,740,680,72,200,300,None,No,Do not get high,No,Yes
Section 16,Female,3.6,Not Important,0,Middle,2,3,15,No,No,3_4,No,No,Never cheated,540,570,63,145,250,None,No,Do not get high,Yes,Yes
Section 16,Male,3.4,Very Important,0,Middle,11,15,16,No,Yes,9 or more,Yes,No,Never cheated,580,570,71,168,400,None,Yes,Do not get high,No,Yes
Section 16,Male,3.77,Fairly Important,3,Back,8,8,14,Yes,Yes,3_4,Yes,Yes,No,,,57,240,500,Less than half a pack,Yes,Do not get high,Yes,Yes
Section 16,Female,3.25,Not Important,1,Front,8,8,10,Yes,No,3_4,No,Yes,Yes,500,600,60,140,450,Less than half a pack,Yes,Do not get high,Yes,Yes
Section 13,Male,3.12,Fairly Important,1,Front,0,0,20,No,No,0,No,No,Never cheated,560,330,64,150,250,None,No,Do not get high,No,Yes
Section 13,Female,3.5,Very Important,0,Front,3,0,30,No,No,0,No,No,Never cheated,800,650,63,105,370,None,No,Do not get high,No,Yes
Section 13,Male,2.98,Fairly Important,1,Middle,10,14,10,No,No,3_4,Yes,No,Never cheated,620,530,68,147,250,None,No,Do not get high,No,Yes
Section 13,Female,2.4,Fairly Important,1,Middle,8,8,10,No,Yes,3_4,Yes,No,Never cheated,560,560,62,115,300,None,Yes,1 to 2,Yes,Yes
Section 13,Female,3.89,Very Important,2,Middle,2,0,5,No,No,0,No,No,Never cheated,640,710,64,115,200,None,No,Do not get high,Yes,No
Section 13,Male,3.33,Not Important,0,Front,10,8,12,No,No,5_6,Yes,No,Never cheated,690,650,76,190,300,None,Yes,Do not get high,Yes,Yes
Section 14,Female,3.48,Very Important,1,Front,2,2,35,No,No,1_2,No,No,Never cheated,750,550,67,180,300,None,Yes,Do not get high,No,Yes
Section 14,Male,3.1,Not Important,0,Front,6,13,8,No,Yes,9 or more,Yes,Yes,No,640,430,69,132,250,None,Yes,Do not get high,Yes,Yes
Section 14,Male,3.36,Fairly Important,1,Middle,12,12,2,No,No,9 or more,Yes,No,Never cheated,540,520,67,155,400,None,No,Do not get high,No,Yes
Section 14,Female,3,Not Important,1,Middle,12,12,8,No,No,5_6,No,Yes,Yes,700,600,65,135,300,None,Yes,1 to 2,Yes,Yes
Section 14,Female,3.4,Very Important,0,Middle,8,8,10,No,Yes,7_8,No,No,Never cheated,490,520,64,120,250,None,Yes,1 to 2,No,No
Section 13,Male,3.13,Fairly Important,0,Front,4,0,30,No,No,0,Yes,No,Never cheated,570,490,58,210,400,None,No,Do not get high,Yes,Yes
Section 13,Female,3.2,Not Important,0,Middle,12,14,10,No,No,1_2,No,No,Never cheated,620,630,66,175,350,None,Yes,1 to 2,Yes,Yes
Section 13,Female,2.92,Fairly Important,0,Middle,8,16,15,No,No,5_6,No,No,Never cheated,450,500,75,125,300,None,Yes,Do not get high,Yes,Yes
Section 13,Male,4,Not Important,1,Front,0,5,25,No,No,9 or more,No,No,Never cheated,,,71,184,300,None,No,Do not get high,No,No
Section 13,Female,3.81,Fairly Important,0,Middle,10,12,10,No,Yes,5_6,No,No,Never cheated,510,680,78,135,500,None,Yes,1 to 2,Yes,Yes
Section 13,Male,3.57,Not Important,0,Middle,3,3,10,No,No,5_6,No,No,Never cheated,620,500,68,165,350,None,Yes,Do not get high,No,Yes
Section 13,Female,2.5,Not Important,4,Back,11,11,7,No,Yes,9 or more,Yes,No,Never cheated,630,530,68,135,450,None,Yes,Do not get high,Yes,Yes
Section 13,Female,2.91,Fairly Important,0,Middle,2,2,15,No,No,1_2,Yes,No,Never cheated,500,550,64,105,300,None,No,Do not get high,Yes,Yes
Section 13,Female,3.31,Fairly Important,0,Middle,10,1,30,No,No,1_2,No,No,Never cheated,500,490,67,150,400,None,No,Do not get high,Yes,Yes
Section 13,Female,3.63,Fairly Important,0,Middle,8,6,12,No,Yes,3_4,Yes,Yes,No,700,600,65,124,150,None,Yes,More than 8,Yes,Yes
Section 13,Male,3.54,Fairly Important,0,Middle,1,1,7,No,No,5_6,Yes,No,Never cheated,540,570,70,200,300,None,No,Do not get high,Yes,Yes
Section 13,Female,3.2,Not Important,0,Back,1,3,5,No,No,3_4,No,No,Never cheated,,,65,130,300,None,Yes,Do not get high,Yes,Yes
Section 13,Female,2.7,Very Important,0,Middle,2,1,8,No,No,0,No,No,Never cheated,650,550,68,160,300,None,No,Do not get high,No,No
Section 13,Female,2.92,Fairly Important,1,Middle,4,5,30,No,No,3_4,No,Yes,Yes,530,530,59,190,400,None,No,Do not get high,Yes,Yes
Section 13,Female,3.3,Very Important,0,Front,6,0,20,No,Yes,1_2,No,No,Never cheated,580,620,63,120,325,None,No,Do not get high,No,Yes
Section 13,Female,3.1,Very Important,0,Middle,6,6,18,No,No,3_4,No,No,Never cheated,560,550,68,142,395,None,No,Do not get high,Yes,No
Section 13,Female,2.5,Very Important,0,Middle,2,0,35,No,No,1_2,No,No,Never cheated,570,480,,,300,None,No,Do not get high,Yes,Yes
Section 14,Female,3.74,Very Important,0,Front,6,6,25,No,No,3_4,No,No,Never cheated,650,700,62,130,250,None,No,Do not get high,No,Yes
Section 14,Male,3.2,Not Important,2,Middle,7,20,17,No,Yes,9 or more,Yes,No,Never cheated,640,630,73,180,500,None,Yes,More than 8,Yes,Yes
Section 14,Female,3.16,Not Important,0,Middle,2,6,10,No,No,1_2,No,No,Never cheated,680,670,68,155,400,None,No,Do not get high,No,Yes
Section 13,Female,2.83,Not Important,0,Middle,0,1,5,No,Yes,1_2,Yes,Yes,No,450,500,63,190,350,None,Yes,Do not get high,Yes,Yes
Section 14,Male,3.88,Fairly Important,0,Middle,2,2,12,No,No,3_4,Yes,No,Never cheated,670,510,69,138,360,None,No,Do not get high,No,No
Section 14,Female,3.51,Not Important,0,Back,2,2,9,No,No,3_4,No,No,Never cheated,560,530,66,120,300,None,Yes,Do not get high,Yes,No
Section 14,Male,2.9,Fairly Important,1,Front,9,10,3,No,No,5_6,Yes,No,Never cheated,430,440,73,180,300,None,Yes,Do not get high,No,Yes
Section 14,Female,3.08,Very Important,0,Back,2,1,10,No,No,1_2,No,Yes,No,470,510,59,100,400,None,Yes,1 to 2,No,Yes
Section 14,Male,2.75,Not Important,0,Front,1,7,4,No,Yes,7_8,Yes,No,Never cheated,720,570,72,160,400,None,Yes,More than 8,No,Yes
Section 13,Female,3,Not Important,0,Back,4,4,10,No,No,3_4,No,No,Never cheated,600,650,69,145,600,None,No,Do not get high,Yes,Yes
Section 14,Female,0,Not Important,0,Middle,0,0,5,No,No,1_2,No,No,Never cheated,570,650,56,129,300,None,No,Do not get high,No,Yes
Section 14,Female,3.4,Fairly Important,0,Middle,4,4,25,No,No,1_2,No,No,Never cheated,500,540,59,110,200,None,No,Do not get high,Yes,Yes
Section 14,Male,3.06,Fairly Important,2,Back,12,15,8,No,Yes,5_6,Yes,No,Never cheated,660,620,72,180,400,None,No,Do not get high,No,Yes
Section 14,Male,3.92,Fairly Important,0,Front,0,0,27,No,No,0,No,No,Never cheated,730,800,66,145,530,None,No,Do not get high,No,Yes
Section 14,Male,3,Not Important,1,Middle,6,13,6,No,Yes,9 or more,Yes,Yes,No,420,420,75,267,350,None,Yes,Do not get high,No,Yes
Section 14,Female,3.27,Fairly Important,0,Front,0,0,50,No,No,0,No,No,Never cheated,450,550,61,120,500,None,No,Do not get high,No,No
Section 15,Female,3.78,Fairly Important,1,Middle,0,3,30,No,No,1_2,No,No,Never cheated,650,600,66,135,250,None,No,Do not get high,Yes,Yes
Section 15,Male,2.2,Very Important,2,Middle,8,20,6,No,No,5_6,Yes,No,Never cheated,520,650,72,195,320,None,Yes,Do not get high,No,Yes
Section 15,Female,2.97,Very Important,1,Middle,6,6,8,No,No,1_2,Yes,Yes,No,650,600,84,115,300,None,No,Do not get high,No,Yes
Section 15,Male,3.1,Not Important,0,Middle,15,14,15,No,No,9 or more,Yes,Yes,Yes,580,640,69,200,350,None,Yes,3 to 5,Yes,Yes
Section 15,Female,3.12,Very Important,0,Front,10,14,7,No,No,5_6,No,No,Never cheated,560,580,72,137,225,None,No,Do not get high,No,Yes
Section 15,Female,3.1,Not Important,0,Middle,12,12,12,No,Yes,3_4,Yes,Yes,No,530,600,62,125,400,None,Yes,Do not get high,Yes,Yes
Section 15,Male,3.04,Not Important,1,Back,17,10,7,Yes,No,5_6,Yes,No,Never cheated,540,600,70,165,300,Less than half a pack,Yes,1 to 2,No,Yes
Section 15,Male,2.6,Fairly Important,2,Back,15,15,2,No,Yes,9 or more,Yes,No,Never cheated,,,73,175,200,None,Yes,Do not get high,No,Yes
Section 15,Female,3.2,Fairly Important,2,Back,3,10,12,No,No,5_6,No,Yes,Yes,720,500,65,110,450,None,No,Do not get high,Yes,No
